job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,skills,salary_max,company_size_num,company_size_group,skills_clean,skill_count,salary_max_new
data scientist,midlevel,on-site,company_395,"New York, NY",a month ago,"McLean, VA, US",Retail,Public,"55,090",€36.49B,"['spark', 'aws', 'r', 'python', 'scala', 'sql', 'machine learning', 'database', 'deep learning']",181603.0,55090.0,large,spark|aws|r|python|scala|sql|machine learning|database|deep learning,9,236083.9
data scientist,midlevel,on-site,company_273,"Burlingame, CA",19 days ago,"Menlo Park, CA, US",Technology,Public,"94,570",€231.94B,"['sql', 'machine learning', 'r', 'python']",222628.0,94570.0,large,sql|machine learning|r|python,4,289416.4
data scientist,senior,on-site,company_134,"Seattle, WA",a month ago,"Seattle, WA, US",Retail,Public,"865,476",€838.83B,"['amazon', 'aws', 'r', 'python', 'sql', 'machine learning']",220792.0,865476.0,large,amazon|aws|r|python|sql|machine learning,6,287029.60000000003
data scientist,senior,on-site,company_134,"Nashville, TN . Bellevue, WA . Austin, TX . Arlington, VA . Bellevue, Washington, United States",11 days ago,"Seattle, WA, US",Retail,Public,"865,446",€839.08B,"['amazon', 'spark', 'r', 'python', 'sql', 'hadoop']",220788.0,865446.0,large,amazon|spark|r|python|sql|hadoop,6,287024.4
machine learning engineer,midlevel,,company_941,"Bengaluru, Karnataka, India",15 days ago,"Dublin, IE",Technology,Public,"492,255",€154.41B,"['sql', 'python']",26380.0,492255.0,large,sql|python,2,34294.0
data scientist,senior,hybrid,company_008,"Bengaluru, Karnataka, India . Hybrid",8 days ago,"San Jose, CA, US",Technology,Public,"34,670",€82.20B,[],47631.0,34670.0,large,,0,61920.3
machine learning engineer,midlevel,,company_941,"Bengaluru, Karnataka, India",15 days ago,"Dublin, IE",Technology,Public,"492,215",€154.16B,"['pytorch', 'aws', 'python', 'docker', 'machine learning', 'azure', 'tensorflow']",26377.0,492215.0,large,pytorch|aws|python|docker|machine learning|azure|tensorflow,7,34290.1
data scientist,midlevel,on-site,company_134,"Seattle, WA",24 days ago,"Seattle, WA, US",Retail,Public,"865,436",€838.98B,"['amazon', 'r', 'python', 'sql', 'machine learning']",220791.0,865436.0,large,amazon|r|python|sql|machine learning,5,287028.3
data scientist,senior,hybrid,company_008,"Scottsdale, AZ . Hybrid",2 months ago,"San Jose, CA, US",Technology,Public,"34,660",€82.25B,"['sql', 'powerbi', 'tableau', 'python']",211591.0,34660.0,large,sql|powerbi|tableau|python,4,275068.3
data scientist,senior,on-site,company_917,"Mountain View, CA",5 days ago,"Mountain View, CA, US",Technology,Public,"258,770",€1.40T,"['sql', 'r', 'python']",185832.0,258770.0,large,sql|r|python,3,241581.6
machine learning engineer,midlevel,on-site,company_244,"Palo Alto, CA . Palo Alto, California, United States . On-site",a month ago,"New York, NY, US",Finance,Public,"290,770",€352.55B,"['pandas', 'numpy', 'pytorch', 'scikit-learn', 'machine learning', 'deep learning', 'tensorflow']",131552.0,290770.0,large,pandas|numpy|pytorch|scikit-learn|machine learning|deep learning|tensorflow,7,171017.6
data scientist,lead,,company_244,"Hyderabad, Telangana, India . Haidarábád, Telangána, Indie",a month ago,"New York, NY, US",Finance,Public,"290,770",€352.85B,"['pytorch', 'machine learning', 'tensorflow', 'python']",54950.0,290770.0,large,pytorch|machine learning|tensorflow|python,4,71435.0
data scientist,senior,,company_171,"Bengaluru, Karnataka, India . Bangalore, Karnataka, India",22 days ago,"Armonk, NY, US",Technology,Public,"524,628",€120.24B,"['docker', 'kubernetes', 'java']",53075.0,524628.0,large,docker|kubernetes|java,3,68997.5
machine learning engineer,senior,,company_941,"Bengaluru, Karnataka, India",8 days ago,"Dublin, IE",Technology,Public,"492,225",€154.11B,"['aws', 'gcp', 'azure']",20445.0,492225.0,large,aws|gcp|azure,3,26578.5
data scientist,lead,on-site,company_244,"New York, NY . On-site",21 days ago,"New York, NY, US",Finance,Public,"290,760",€352.90B,"['machine learning', 'r', 'python']",165589.0,290760.0,large,machine learning|r|python,3,215265.7
data scientist,senior,hybrid,company_003,"Sunnyvale, CA . Hybrid",15 days ago,"Bentonville, AR, US",Retail,Public,€354.99B,Public,"['spark', 'r', 'python', 'scala', 'sql', 'machine learning', 'tensorflow']",183991.0,354990000000.0,large,spark|r|python|scala|sql|machine learning|tensorflow,7,239188.30000000002
data scientist,midlevel,on-site,company_134,"North Reading, MA . North Reading, Massachusetts, USA",a month ago,"Seattle, WA, US",Retail,Public,"865,416",€839.03B,"['amazon', 'python', 'sql', 'hadoop', 'machine learning']",220787.0,865416.0,large,amazon|python|sql|hadoop|machine learning,5,287023.10000000003
machine learning engineer,midlevel,,company_941,"Bengaluru, Karnataka, India",19 days ago,"Dublin, IE",Technology,Public,"492,235",€154.36B,['machine learning'],26379.0,492235.0,large,machine learning,1,34292.700000000004
data scientist,senior,on-site,company_917,"Dublin, County Dublin, Ireland",8 days ago,"Mountain View, CA, US",Technology,Public,"258,760",€1.50T,"['sql', 'r', 'python']",112544.0,258760.0,large,sql|r|python,3,146307.2
data scientist,senior,on-site,company_003,"Sunnyvale, CA",17 days ago,"Bentonville, AR, US",Retail,Public,€354.99B,Public,"['spark', 'r', 'python', 'scala', 'sql', 'machine learning', 'tensorflow']",263107.0,354990000000.0,large,spark|r|python|scala|sql|machine learning|tensorflow,7,342039.10000000003
data scientist,midlevel,on-site,company_917,"Mountain View, CA",7 days ago,"Mountain View, CA, US",Technology,Public,"258,810",€1.20T,"['sql', 'r', 'python']",185828.0,258810.0,large,sql|r|python,3,241576.4
data engineer,senior,on-site,company_134,"Seattle, WA",3 months ago,"Seattle, WA, US",Retail,Public,"865,476",€839.08B,"['amazon', 'aws']",220792.0,865476.0,large,amazon|aws,2,287029.60000000003
data scientist,lead,,company_244,"London, England, United Kingdom",19 days ago,"New York, NY, US",Finance,Public,"290,750",€352.75B,[],146026.0,290750.0,large,,0,189833.80000000002
data scientist,lead,on-site,company_273,"Menlo Park, CA",12 days ago,"Menlo Park, CA, US",Technology,Public,"94,580",€231.89B,"['sql', 'machine learning', 'r', 'python']",258504.0,94580.0,large,sql|machine learning|r|python,4,336055.2
data scientist,midlevel,on-site,company_395,"McLean, VA",17 days ago,"McLean, VA, US",Retail,Public,"55,090",€36.34B,"['spark', 'aws', 'r', 'python', 'scala', 'sql', 'machine learning', 'database', 'deep learning']",181600.0,55090.0,large,spark|aws|r|python|scala|sql|machine learning|database|deep learning,9,236080.0
data scientist,lead,on-site,company_395,"New York, NY",21 days ago,"McLean, VA, US",Retail,Public,"55,150",€36.34B,"['aws', 'r', 'python', 'scala', 'machine learning', 'database', 'deep learning']",302202.0,55150.0,large,aws|r|python|scala|machine learning|database|deep learning,7,392862.60000000003
data scientist,senior,on-site,company_273,"Burlingame, CA",a month ago,"Menlo Park, CA, US",Technology,Public,"94,560",€231.94B,"['sql', 'machine learning', 'r', 'python']",222632.0,94560.0,large,sql|machine learning|r|python,4,289421.60000000003
data scientist,senior,,company_844,"San Diego, CA",22 days ago,"Mountain View, CA, US",Technology,Public,"17,030",€95.22B,"['r', 'python', 'sql', 'machine learning', 'tableau']",163752.0,17030.0,medium,r|python|sql|machine learning|tableau,5,180127.2
data scientist,senior,on-site,company_134,"Austin, TX . Bellevue, WA . New York, United States",a month ago,"Seattle, WA, US",Retail,Public,"865,416",€839.08B,"['amazon', 'r', 'python', 'sql', 'machine learning']",156391.0,865416.0,large,amazon|r|python|sql|machine learning,5,203308.30000000002
data scientist,lead,on-site,company_395,"New York, NY",a month ago,"McLean, VA, US",Retail,Public,"55,140",€36.44B,"['spark', 'aws', 'r', 'python', 'scala', 'sql', 'machine learning', 'database', 'deep learning']",221524.0,55140.0,large,spark|aws|r|python|scala|sql|machine learning|database|deep learning,9,287981.2
data scientist,senior,,company_171,"Hyderabad, Telangana, India",15 days ago,"Armonk, NY, US",Technology,Public,"524,568",€120.34B,"['database', 'machine learning', 'java']",53079.0,524568.0,large,database|machine learning|java,3,69002.7
data scientist,senior,hybrid,company_983,"Arlington, VA . Hybrid",4 days ago,"McLean, VA, US",Technology,Public,"27,010",Public,"['spark', 'r', 'python', 'sql', 'hadoop', 'machine learning']",206986.0,27010.0,large,spark|r|python|sql|hadoop|machine learning,6,269081.8
data scientist,senior,,company_844,"San Diego, CA",9 days ago,"Mountain View, CA, US",Technology,Public,"17,050",€95.27B,"['r', 'python', 'sql', 'machine learning', 'tableau']",163754.0,17050.0,medium,r|python|sql|machine learning|tableau,5,180129.40000000002
data scientist,senior,on-site,company_134,"Seattle, WA . Cupertino, CA",a month ago,"Seattle, WA, US",Retail,Public,"865,416",€838.73B,"['amazon', 'aws', 'r', 'python', 'sql', 'machine learning']",220787.0,865416.0,large,amazon|aws|r|python|sql|machine learning,6,287023.10000000003
data scientist,lead,on-site,company_244,"Columbus, OH . On-site",11 days ago,"New York, NY, US",Finance,Public,"290,780",€352.70B,"['pandas', 'numpy', 'pytorch', 'spark', 'aws', 'scikit-learn', 'python', 'sql', 'keras', 'machine learning', 'tensorflow']",137996.0,290780.0,large,pandas|numpy|pytorch|spark|aws|scikit-learn|python|sql|keras|machine learning|tensorflow,11,179394.80000000002
data scientist,midlevel,on-site,company_273,"New York, NY",a month ago,"Menlo Park, CA, US",Technology,Public,"94,560",€232.14B,"['sql', 'machine learning', 'r', 'python']",187668.0,94560.0,large,sql|machine learning|r|python,4,243968.4
machine learning engineer,senior,,company_941,"Bengaluru, Karnataka, India",8 days ago,"Dublin, IE",Technology,Public,"492,215",€154.16B,"['aws', 'gcp', 'azure']",20440.0,492215.0,large,aws|gcp|azure,3,26572.0
data scientist,senior,on-site,company_134,"Seattle, WA . Arlington, VA",8 days ago,"Seattle, WA, US",Retail,Public,"865,466",€838.88B,"['amazon', 'spark', 'r', 'python', 'sql', 'hadoop', 'machine learning']",220784.0,865466.0,large,amazon|spark|r|python|sql|hadoop|machine learning,7,287019.2
data scientist,senior,on-site,company_917,"Mountain View, CA",5 days ago,"Mountain View, CA, US",Technology,Public,"258,810",€1.45T,"['sql', 'r', 'python']",294379.0,258810.0,large,sql|r|python,3,382692.7
data scientist,senior,on-site,company_395,"San Jose, CA",13 days ago,"McLean, VA, US",Retail,Public,"55,110",€36.49B,"['pytorch', 'aws', 'r', 'python', 'scala', 'sql', 'database', 'machine learning']",152347.0,55110.0,large,pytorch|aws|r|python|scala|sql|database|machine learning,8,198051.1
data scientist,midlevel,hybrid,company_008,"Chicago, IL . Hybrid",2 months ago,"San Jose, CA, US",Technology,Public,"34,650",€82.45B,"['r', 'python', 'sql', 'machine learning', 'tableau']",195810.0,34650.0,large,r|python|sql|machine learning|tableau,5,254553.0
data scientist,senior,on-site,company_134,"Palo Alto, CA . Austin, TX . West Hollywood, CA . Arlington, VA . Seattle, WA + 1 More",8 days ago,"Seattle, WA, US",Retail,Public,"865,466",€838.88B,"['amazon', 'r', 'python', 'scala', 'sql', 'machine learning']",220789.0,865466.0,large,amazon|r|python|scala|sql|machine learning,6,287025.7
data scientist,senior,on-site,company_273,"Bellevue, WA",7 days ago,"Menlo Park, CA, US",Technology,Public,"94,590",€231.94B,"['spark', 'powerbi', 'r', 'python', 'sql', 'machine learning', 'tableau']",187670.0,94590.0,large,spark|powerbi|r|python|sql|machine learning|tableau,7,243971.0
data scientist,senior,,company_917,"Bengaluru, Karnataka, India",23 days ago,"Mountain View, CA, US",Technology,Public,"258,810",€1.45T,"['sql', 'r', 'python']",42805.0,258810.0,large,sql|r|python,3,55646.5
